numero;fecha;referencia;id;codigo_vendedor
1;2011-03-04;B0000A0019;102763;4
2;2011-03-04;B0000A0022;102763;4
3;0000-00-00;;0;32
4;2011-03-04;B0000A0020;35232;4
5;2011-03-04;B0000A0030;34473;4
6;2011-03-04;B000AA0034;34473;4
7;2011-03-03;PPPPPP0059;2;11
8;2011-03-03;P00PPP0053;2;11
9;2011-03-03;P000PP0044;2;11
10;2011-03-03;P0000P0035;2;11
11;2011-03-03;P00PPP0055;54044;11
12;2011-03-03;PPPPPP0061;54044;11
13;2011-03-03;P00PPP0052;34050;11
14;2011-03-03;P00PPP0053;34050;11
15;2011-03-03;P00PPP0055;34050;11
16;2011-03-03;PPPPPP0061;34050;11
17;2011-03-03;C0000C0003;109863;8
18;2011-03-03;C0000C0003;109863;8
19;2011-03-03;C0000C0003;34525;8
20;2011-03-03;C0000C0003;34525;8
21;2011-03-03;C0000C0003;2;8
22;2011-03-03;C000CC0014;102763;9
23;2011-03-03;C000CC0014;102763;9
24;2011-03-03;C000CC0016;102763;9
25;2011-03-03;C000CC0016;102763;9
26;2011-03-04;B0000A0019;35232;4
27;2011-03-04;B000AA0032;35232;4
28;2011-03-04;B0000A0022;107220;4
29;0000-00-00;;0;32
30;0000-00-00;;0;32
31;2011-03-03;C0000C0003;27094;8
32;2011-03-03;C0000C0003;27094;8
33;2011-03-03;C000CC0011;27094;8
34;2011-03-03;C000CC0014;27094;8
35;2011-03-04;C0000C0003;71651;9
36;2011-03-04;C0000C0003;71651;9
37;2011-03-04;P00PPP0053;73240;11
38;2011-03-04;PPPPPP0059;73240;11
39;2011-03-03;P000PP0047;55810;11
40;2011-03-03;P0000P0041;55810;11
41;2011-03-03;P0000P0041;55810;11
42;2011-03-04;P00PPP0057;107220;11
43;2011-03-04;P00PPP0053;72374;11
44;2011-03-04;P00PPP0056;72374;11
45;2011-03-04;B0000A0022;72374;4
46;2011-03-04;B0000A0022;34473;4
47;2011-03-04;B000AA0034;2;4
48;2011-03-04;B0000A0029;2;4
49;2011-03-04;B0000A0019;2;4
50;2011-03-04;B0000A0022;2;4
51;2011-03-03;C0000C0003;72374;8
52;2011-03-04;B000AA0032;73240;6
53;2011-03-04;B000AA0034;73240;6
54;2011-03-04;B0000A0022;34525;6
55;2011-03-04;B000AA0034;34525;6
56;2011-03-04;B0000A0030;34525;6
57;2011-03-13;C000CC0004;34050;10
58;2011-03-04;B0000A0019;34050;6
59;2011-03-04;B0000A0030;34050;6
60;2011-03-04;B0000A0027;34050;6
61;2011-03-04;B0000A0028;34050;6
62;2011-03-04;P00PPP0053;34473;11
63;2011-03-04;P00PPP0054;34473;11
64;2011-03-04;PPPPPP0059;34473;11
65;2011-03-04;PPPPPP0061;34473;11
66;2011-03-04;PPPPPP0059;35232;11
67;2011-03-04;PPPPPP0061;35232;11
68;2011-03-04;PPPPPP0061;35232;11
69;2011-03-05;PPPPPP0059;34525;11
70;2011-03-05;P000PP0049;34525;11
71;2011-03-05;P000PP0049;34525;11
72;2011-03-05;P000PP0049;34525;11
73;2011-03-05;B0000A0022;99684;7
74;2011-03-05;B000AA0034;99684;7
75;2011-03-05;C000CC0016;34050;9
76;2011-03-05;C0000C0003;2;9
77;2011-03-05;C0000C0003;106737;9
78;2011-03-06;P0000P0042;2;11
79;2011-03-06;P0000P0039;2;11
80;2011-03-06;P0000P0041;2;11
81;2011-03-06;P000PP0047;2;11
82;2011-03-07;P0000P0042;72374;11
83;2011-03-07;P0000P0041;72374;11
84;2011-03-07;P000PP0045;72374;11
85;2011-03-07;P000PP0049;72374;11
86;2011-03-09;P0000P0035;109211;4
87;2011-03-09;P00PPP0053;109211;4
88;2011-03-09;P00PPP0055;109211;4
89;2011-03-09;P000PP0047;109211;4
90;2011-03-09;C000CC0012;2;9
91;2011-03-09;C000CC0015;2;9
92;2011-03-09;P00PPP0055;71651;4
93;2011-03-09;P00PPP0053;71651;4
94;2011-03-09;C000CC0009;34050;9
95;2011-03-09;C0000C0003;109211;10
96;2011-03-09;B0000A0027;2;4
97;2011-03-09;B0000A0028;2;4
98;2011-03-09;B0000A0031;2;4
99;2011-03-09;B0000A0019;109211;4
100;2011-03-09;B0000A0020;109211;4
101;2011-03-09;B0000A0022;109211;4
102;2011-03-09;B0000A0031;109211;4
103;2011-03-04;P00PPP0052;102763;4
104;2011-03-04;P00PPP0053;102763;4
105;2011-03-04;P00PPP0055;102763;4
106;2011-03-06;PPPPPP0060;41347;11
107;2011-03-06;P00PPP0053;41347;11
108;2011-03-06;P00PPP0057;41347;11
109;2011-03-10;C000CC0016;54044;8
110;2011-03-10;C000CC0016;54044;8
111;2011-03-10;C000CC0014;54044;8
112;2011-03-10;C000CC0009;54044;8
113;2011-03-10;C000CC0017;34525;8
114;2011-03-10;C000CC0015;34525;8
115;2011-03-10;C000CC0015;34525;8
116;2011-03-12;C0000C0003;41377;10
117;2011-03-12;C000CC0004;102763;10
118;2011-03-12;C000CC0004;102763;10
119;2011-03-12;C000CC0012;102763;10
120;2011-03-12;C000CC0012;102763;10
121;2011-03-12;C000CC0017;102763;10
122;2011-03-12;C000CC0017;102763;10
123;2011-03-13;P00PPP0053;93165;11
124;2011-03-13;P000PP0047;93165;11
125;2011-03-13;P00PPP0052;93165;11
126;2011-03-13;B0000A0020;85845;6
127;2011-03-13;B0000A0022;85845;6
128;2011-03-13;B0000A0019;85845;6
129;2011-03-13;B0000A0027;85845;6
130;2011-03-13;B0000A0027;93165;6
131;2011-03-10;B0000A0031;102763;7
132;2011-03-10;B000AA0032;102763;7
133;2011-03-10;B0000A0024;102763;7
134;2011-03-19;B000AA0032;71651;7
135;2011-03-19;B0000A0024;71651;7
136;2011-03-19;B0000A0020;71651;7
137;2011-03-16;C000CC0013;41347;11
138;2011-03-16;C000CC0014;41347;11
139;2011-03-13;C000CC0004;34050;10
140;2011-03-13;C000CC0004;34525;10
141;2011-03-13;C000CC0004;34525;10
142;2011-03-13;C000CC0014;93165;10
143;2011-03-14;P00PPP0053;85845;4
144;2011-03-14;P00PPP0054;85845;4
145;2011-03-14;P00PPP0055;85845;4
146;2011-03-14;P000PP0047;85845;4
147;2011-03-14;P000PP0048;72374;4
148;2011-03-04;P00PPP0054;72374;4
149;2011-03-14;P00PPP0055;72374;4
150;2011-03-14;P000PP0047;72374;4
